cu_num,M,N,K,libtype,kernelId,splitK,us,kernelName,tflops,bw,errRatio
256,16,7168,2304,ck,8,0,8.6583,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,61.04,1938.18,0.0
256,32,7168,256,ck,8,0,3.3772,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,34.77,681.62,0.0
256,32,7168,2304,ck,8,0,8.8671,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,119.2,1922.56,0.0
256,64,7168,256,ck,13,0,3.877,a8w8_blockscale_1x128x128_256x32x64x256_16x16_16x16_2x1_16x16x1_16x16x1_1x32x1x8_8_2x1_intrawave_v1,60.58,714.19,0.0
256,64,7168,2304,ck,7,0,11.0914,a8w8_blockscale_1x128x128_256x16x128x256_16x16_16x16_1x2_16x16x1_16x16x1_1x16x1x16_8_1x2_intrawave_v1,190.59,1585.01,0.0
256,128,7168,256,ck,8,0,4.6168,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,101.75,802.02,0.0
256,128,7168,2304,ck,18,0,11.7153,a8w8_blockscale_1x128x128_256x64x64x256_16x16_32x32_1x1_16x16x1_16x16x1_1x32x1x8_8_1x1_intrawave_v1,360.88,1591.51,0.0
256,256,7168,256,ck,8,0,5.9085,a8w8_blockscale_1x128x128_256x16x64x256_16x16_16x16_1x1_16x16x1_16x16x1_1x16x1x16_4_1x1_intrawave_v1,159.01,942.8,0.0
256,256,7168,2304,ck,2,0,17.2049,a8w8_blockscale_1x128x128_256x64x128x128_16x16_32x32_1x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,491.47,1207.5,0.0
256,512,7168,256,cktile,3,0,7.8369,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,239.77,1187.47,0.0
256,512,7168,2304,ck,0,0,22.8335,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,740.64,1096.4,0.0
256,1024,7168,256,cktile,3,0,11.2761,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,333.28,1487.86,0.0
256,1024,7168,2304,ck,0,0,37.6132,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,899.23,892.09,0.0
256,1536,7168,256,cktile,3,0,13.6757,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,412.2,1773.1,0.0
256,1536,7168,2304,cktile,2,0,44.2724,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1145.96,950.35,0.0
256,2048,7168,256,cktile,3,0,18.6823,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,402.32,1697.83,0.0
256,2048,7168,2048,ck,0,0,66.2809,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,907.19,727.73,0.0
256,2048,7168,2304,ck,0,0,74.6253,a8w8_blockscale_1x128x128_256x128x128x128_16x16_32x32_2x2_8x32x1_8x32x1_1x32x1x8_8_1x1_intrawave_v3,906.47,677.97,0.0
256,4096,7168,256,cktile,3,0,29.5731,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,508.31,2083.1,0.0
256,4096,7168,2304,cktile,2,0,117.5255,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1151.17,720.46,0.0
256,8192,7168,256,cktile,3,0,54.8376,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,548.25,2213.31,0.0
256,8192,7168,2304,cktile,2,0,199.8639,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1353.84,764.67,0.0
256,16384,7168,256,cktile,3,0,100.8835,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,596.03,2388.01,0.0
256,16384,7168,2304,cktile,2,0,372.8575,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1451.4,775.48,0.0
256,20480,7168,256,cktile,3,0,124.6731,a8w8_blockscale_cktile_128x128x128_2x2x1_16x16x128_intrawave_0x1x0_2,602.87,2411.74,0.0
256,20480,7168,2304,cktile,2,0,466.0486,a8w8_blockscale_cktile_192x256x128_4x2x1_16x16x128_intrawave_0x1x0_1,1451.47,766.66,0.0
